	USP																							
EL FUERTE MARBELLA	Prabangus viešbutis Marbelos centre, itin aukštas serviso lygis.																							
ESTIVAL TORREQUEBRADA	Populiarus viešbutis ant j?ros kranto su puikia animacija.																							
HOTEL BALI	Labai populiarus d?l kainos ir vietos, dideli baseinai.																							
RIU COSTA DEL SOL	Puikus RIU tinklo viešbutis šeimoms, modernus ir komfortiškas.																							
ALLEGRO ISORA	Dideli kambariai, patogu šeimoms, graž?s vaizdai.																							
BARCELO SANTIAGO	Nuostabi vandenyno panorama, puikus pasirinkimas poroms.																							
HARD ROCK HOTEL TENERIFE	Stilingas, modernus, aukš?iausio lygio pramogos ir servisas.																							
HOVIMA ATLANTIS	Puiki vieta netoli Puerto Colon, dideli apartamentai.																							
HOVIMA COSTA ADEJE	Tvarkingas, populiarus 4*, tik suaugusiesiems orientuota atmosfera.																							
HOVIMA JARDIN CALETA	Labai geras kainos/kokyb?s santykis, arti Costa Adeje papl?dimi?.																							
LANDMAR PLAYA LA ARENA	Modernus viešbutis su nuostabiu vaizdu ? La Gomera sal?.																							
RIU BUENAVISTA	Didelis šeim? viešbutis su RIU kokybe ir puikia animacija.																							
ADRIA (MILANO MARITTIMA) 	Ramus ir komfortiškas viešbutis arti papl?dimio.																							
ADRIA NUOVA (RIMINI) 	Paprastas, tvarkingas viešbutis geroje vietoje.																							
ALBATROS RESIDENCE	Patog?s apartamentai ilgesniam poilsiui.																							
AMSTERDAM SUITE & SPA HOTEL (RIMINI) Super	Modernus dizainas, naujas SPA centras.																							
APOLLO (RIMINI) Super	Labai geras kainos/kokyb?s santykis prie j?ros.																							
ASCOT (RIMINI) 	Viešbutis vos kelios minut?s nuo papl?dimio, su baseinu.																							
AURELIA HOTEL (MILANO MARITTIMA) 	Stilingas viešbutis su priva?ia papl?dimio zona.																							
AUSONIA (MILANO MARITTIMA) 	Ramus šeimyninis viešbutis žalioje zonoje.																							
BAIA DEL SOLE RESORT (CAPO VATICANO) 	Graži teritorija tarp palm? ir sm?lio papl?dimys.																							
BAIA IMPERIALE (RIMINI) 	Patogi vieta, baseinas ant stogo.																							
BLU HOTEL MORISCO 	Šalia Porto Cervo, patogu keliauti po Sardinij?.																							
BOEMIA (RICCIONE) 	Kokybiškas SPA, arti promenados.																							
BRITANNIA (RIMINI) 	Paprastas viešbutis arti papl?dimio.																							
CAPOVATICANO RESORT THALASSO & SPA (CAPO VATICANO) 	Modernus, aukšto lygio poilsis su Thalasso SPA.																							
CASTELLO 	Jaukus viešbutis ekonominiam poilsiui.																							
CENTRO VACANZE ISULEDDA 	Didelis kompleksas su tiesioginiu iš?jimu ? papl?dimius.																							
CHARLIE (PESARO) 	Labai tvarkingas viešbutis su puikiu maitinimu.																							
COLOMBA D'ORO HOTEL (TROPEA) 	Šalia Tropea centro, graž?s vaizdai.																							
COLONNA BEACH HOTEL&RESIDENCE 	Viešbutis prie sm?lio papl?dimio, tinka šeimoms.																							
COLONNA COUNTRY (PORTO CERVO) 	Ramus, žalias kompleksas netoli Porto Cervo.																							
COLONNA DU GOLF 	Patogi vieta keliauti po Costa Smeralda.																							
COLONNA PARK HOTEL (PORTO CERVO) 	Stilingas viešbutis su gražia teritorija.																							
COLONNA RESORT 	Prabangus viešbutis su nuosava ?lanka.																							
CORMORAN (CATTOLICA) 	Puiki vieta ant j?ros, didelis baseinas.																							
DA VINCI GRAND HOTEL (CESENATICO) 	Modernus, aukšto lygio viešbutis su erdviomis patalpomis.																							
DAVID (CESENATICO) 	Šeimoms tinkamas viešbutis arti papl?dimio.																							
DOGE HOTEL (MILANO MARITTIMA) 	Klasikinis itališkas viešbutis su gera lokacija.																							
DUCALE (RIMINI) 	Ekonominis variantas arti papl?dimio.																							
EXCELSIOR HOTEL SPA & LIDO (PESARO) 	Praštangus boutique viešbutis su nuostabiu SPA.																							
FALKENSTEINER CLUB FUNIMATION GARDEN CALABRIA 	Puikus pasirinkimas šeimoms, daug animacijos.																							
GH DIANA 	Komfortiškas viešbutis arti j?ros.																							
GRAND HOTEL RIMINI Deluxe	Ikoninis viešbutis Riminyje, aukš?iausio lygio aptarnavimas.																							
GRAND HOTEL SMERALDO BEACH (BAIA SARDINIA) 	Smaragdin? ?lanka, nuostabus vaizdas ir ramyb?.																							
HOTEL COSTA JONICA (SELLIA MARINA) 	Ramus ir paprastas poilsis prie j?ros.																							
HOTEL RESIDENCE IL GATTOPARDO 	Paprasti apartamentai netoli papl?dimio.																							
HOTEL RESIDENCE SCIARON 	Su vaizdu ? Tropea pakrant?, gera kaina.																							
ISCHIA HOTEL (RIMINI) 	Ekonominis variantas su pagrindiniais patogumais.																							
LA FIORITA EXECUTIVE HOTEL (RIMINI) 	Modernus ir tvarkingas viešbutis arti papl?dimio.																							
LI SUARI CLUB VILLAGE 	Puiki vieta šeimoms, žalios erdv?s ir bungalow stiliaus kambariai.																							
LUNGOMARE (CESENATICO) 	Stilingas vies?butis ant j?ros su gražia terasa.																							
MANGIA'S SANTA TERESA, SARDINIA, CURIO COLLECTION BY HILTON 	Aukštos klas?s poilsis su nuostabiu Sardinijos kraštovaizdžiu.																							
MANGIA'S SARDINIA RESORT 	Didel? teritorija ir premium aptarnavimas.																							
MARA (RIMINI) 	Ekonominis pasirinkimas arti papl?dimio.																							
MARINELLA RESIDENCE	Patog?s apartamentai šalia j?ros.																							
MICHELACCI GRAND HOTEL (GABICCE MARE) 	Didelis viešbutis su SPA ir puikiu vaizdu ? ?lank?.																							
MICHELANGELO (RIMINI) 	Centrin? vieta ir gera kaina.																							
MILTON (RIMINI) 	Klasikinis viešbutis Rimini centre, netoli j?ros.																							
MYO HOTEL STELLE MARINE 	Stilingas viešbutis netoli graži? Sardinijos papl?dimi?.																							
MYO ROCCE SARDE 	Ramus boutique stiliaus viešbutis.																							
NAUTILUS FAMILY HOTEL (PESARO) 	Šeimoms pritaikytas viešbutis ant j?ros.																							
PARCO FELLINI RESIDENCE (RIMINI) 	Puiki vieta, erdv?s numeriai.																							
PICCOLO GRAND HOTEL (PIZZO) 	Boutique viešbutis su panoraminiais vaizdais.																							
PRESIDENT (RIMINI) 	Kokybiškas ir gerai vertinamas miesto viešbutis.																							
RADA SIRI HOTEL (MONTEPAONE LIDO) 	Didel? teritorija, ramus atostog? ritmas.																							
RE LEONE (EX. BRENTA) (RIMINI) 	Ekonominis pasirinkimas geroje vietoje.																							
RESIDENCE BAIA SANTA REPARATA	Patog?s apartamentai šalia papl?dimio.																							
RESIDENCE OASI E OASI BLU	Apartamentai su virtuv?l?mis, tinka šeimoms.																							
SANS SOUCI (GABICCE MARE) 	Ant uolos, su puikiu vaizdu ? j?r?.																							
SAVOIA (RIMINI) 	Modernus viešbutis su gera SPA zona.																							
SCOGLIO DELLA GALEA RESORT (CAPO VATICANO) 	Panoraminiai vaizdai ir sm?lio papl?dimys.																							
SERENE RESORT 	Ramus viešbutis su dideliu baseinu.																							
TH LE CASTELLA BAIA DEGLI DEI VILLAGE 	Didel? teritorija ir daug veiklos šeimoms.																							
TH SAN TEODORO LISCIA ELDI VILLAGE 	Patog?s bungalow ir puiki vieta netoli sm?lio papl?dimi?.																							
TH SIMERI 	Didelis, žalumos apsuptas kompleksas.																							
TONICELLO RESORT & SPA (CAPO VATICANO) 	Mažas, jaukus viešbutis su nuostabiais vaizdais.																							
TOURING (RIMINI) 	Patikimas klasikinis viešbutis arti papl?dimio.																							
VIENNA OSTENDA (RIMINI) 	Elegantiškas viešbutis su puikiu aptarnavimu.																							
VILLA PAOLA (TROPEA) 	Prabangus boutique viešbutis su ?sp?dingu vaizdu.																							
VILLAGGIO HOTEL LIDO SAN GIUSEPPE 	Viešbutis ant j?ros su tipiška itališka atmosfera.																							
VILLAGGIO RESIDENCE POGGIO DI TROPEA 	Šeimyniniai apartamentai su gražiais horizontais.																							
VOI COLONNA VILLAGE 	Didelis kompleksas ant kalvos, puik?s vaizdai.																							
VOI FLORIANA RESORT (SIMERI MARE) 	Puikiai tinka šeimoms, didel? teritorija.																							
VOI LE MUSE ESSENTIA 	Šiuolaikinis poilsio kompleksas su pramogomis.																							
VRETREATS CALA CUNCHEDDI 	Unikali lokacija ant ?lankos, privatumo poj?tis.																							
CANICO BAY	Viešbutis ant uolos su vaizdu ? Atlanto vandenyn?, ramioje vietoje, idealiai tinka poilsiui poroms.																							
DORISOL MIMOSA	Ekonomiškas viešbutis su virtuv?l?mis, baseinu ir patogia vieta netoli Funšalio centro.																							
ALLEGRO MADEIRA	Tik suaugusiesiems skirtas modernus viešbutis su vaizdu ? j?r?, šiuolaikišku interjeru ir jaukia atmosfera.																							
NEXT SAVOY SIGNATURE	Stilingas, jaunatviškas viešbutis iš „Savoy Signature“ kolekcijos, su moderniu dizainu ir miesto energija.																							
RIU MADEIRA	„Riu“ tinklo viešbutis su „all inclusive“ paslaugomis, aukštu serviso lygiu ir panorama ? vandenyn?.																							
ROYAL SAVOY	Klasikinis Madeiros prabangos simbolis - elegancija, išskirtinis aptarnavimas ir vaizdas ? Atlanto vandenyn?.																							
SACCHARUM	Dizaino viešbutis su industriniu stiliumi, ?kv?ptas cukranendri? tematikos. Išskirtinis SPA ir stulbinanti architekt?ra.																							
SAVOY PALACE	Pagrindinis Madeiros prabangos viešbutis - „Leading Hotels of the World“ narys, ištaigingas interjeras, puikus SPA ir rooftop baseinas.																							
SE BOUTIQUE	Boutique tipo viešbutis Funšalio centre, su menine atmosfera, stilingu dizainu ir stogo terasa.																							
DORISOL FLORASOL RESIDENCE	Apartamentinio tipo viešbutis su virtuv?l?mis, baseinu ir patogiu susisiekimu su centru.																							
PESTANA OCEAN BAY	„All inclusive“ viešbutis ant vandenyno kranto su puikiu maistu, baseinu ir didel?mis terasomis.																							
PESTANA ROYAL ALL INCLUSIVE	Ant kalvos virš Praia Formosa papl?dimio - modernus  viešbutis su pilnu maitinimu, dviem baseinais ir SPA.																							
ROCA MAR	Ant uolos ?sik?r?s viešbutis su tiesioginiu nusileidimu prie j?ros, puikus vaizdas ir rami atmosfera.																							
ALPENPARKS APARTMENT & FERIENRESORT REHRENBERG (VIEHHOFEN)	Erdv?s apartamentai su virtuv?l?mis, kaln? panorama ir patogiu susisiekimu su Saalbach-Hinterglemm slidin?jimo zona.																							
ALPINE PALACE HOTEL (HINTERGLEMM)	Prabangus kaln? viešbutis su „Michelin“ virtuve, išskirtiniu SPA ir tiesioginiu pri?jimu prie keltuv?.																							
ALPINRESORT SPORT & SPA (SAALBACH)	Modernus „all inclusive“ viešbutis su puikiu SPA, baseinu ir sporto zonomis. Idealu aktyviems poilsiautojams.																							
DER KIRCHHEIMERHOF HOTEL (BAD KLEINKIRCHHEIM)	Šeimos valdomas viešbutis su šiltu aptarnavimu, SPA centru ir nuostabiu vaizdu ? kalnus.																							
EUROPAEISCHER HOF HOTEL (BAD GASTEIN)	Elegantiškas viešbutis šalia terminio centro, su klasikinio stiliaus interjeru ir gurmaniška virtuve.																							
MONDI HOTEL BELLEVUE GASTEIN (BAD GASTEIN)	Apartamentinio tipo viešbutis kaln? kurorte su SPA zona, restoranais ir nuostabia panorama.																							
NEUHAUS ZILLERTAL RESORT (MAYRHOFEN)	Tradicinis Tirolio stiliaus viešbutis su puikiu maistu, SPA ir jaukia atmosfera.																							
OTP BIRKENHOF HOTEL (BAD KLEINKIRCHHEIM)	Jaukus viešbutis prie keltuvo, su šilta atmosfera ir asmeniniu aptarnavimu. Puikus pasirinkimas žiemos atostogoms.																							
ROSE HOTEL (MAYRHOFEN)	Centriniuose Zillertal sl?nio kalnuose, šeimos valdomas viešbutis su restoranu ir ramiu sodo kampeliu.																							
BRUNNHOF PENSION (BAD HOFGASTEIN)	Nedidelis, jaukus pensionas su šiltu pri?mimu, puikiai tinka ramiam poilsiui kalnuose.																							
ELISABETHPARK HOTEL (BAD GASTEIN)	Istorinis viešbutis su elegancijos dvasia, baseinu ir SPA zona su terminiais vandenimis.																							
NORICA HOTEL (BAD HOFGASTEIN)	Tiesioginis pri?jimas prie „Alpentherme“ terminio centro, aukšto lygio SPA ir puiki virtuv?.																							
OESTERREICHISCHER HOF HOTEL (BAD HOFGASTEIN)	Komfortiškas viešbutis sujungtas su terminiu kompleksu, idealiai tinka sveikatingumo poilsiui.																							
SALZBURGERHOF HOTEL (ZELL AM SEE)	Vienas prabangiausi? Austrijos Alpi? viešbu?i? – išskirtinis SPA, gurmaniškas maistas ir nepakartojamas vaizdas ? ežer?.																							
ALUA HELIOS BAY 	Modernus dizainas, rami atmosfera ir patogus poilsis																							
ALUASOUL SUNNY BEACH 	Tik suaugusiesiems, stilinga aplinka ir socialin? koncepcija																							
ALUASUN HELIOS BEACH 	Paprastas komfortas, gera kaina ir atsipalaidav?s poilsis																							
APOLLO SPA RESORT 	Poilsis su SPA paslaugomis, ramia aplinka ir komfortu																							
ASTERIA FAMILY SUNNY BEACH 	„Viskas ?skai?iuota“, šeimoms pritaikyta infrastrukt?ra ir vaik? pramogos																							
ASTOR GARDEN 	Prabanga, aukšto lygio SPA ir išskirtinis aptarnavimas																							
ASTORIA GOLDEN SANDS 	Modern?s kambariai, geras komforto lygis ir subalansuotas poilsis																							
ATLAS GOLDEN SANDS 	Aktyvesn? atmosfera, patogi infrastrukt?ra ir gera kaina																							
AVENUE DELUXE 	Šiuolaikiškas interjeras, komfortas ir universalus pritaikymas																							
AVENUE HOTEL SUNNY BEACH 	Labai ekonomiškas pasirinkimas, paprasti kambariai ir funkcionalumas																							
AZALIA 	Rami aplinka, žaluma ir patogus poilsis prie j?ros																							
AZUR PREMIUM RESORT APARTHOTEL 	Apartamentai, daugiau erdv?s ir patogumas šeimos poilsiui																							
BARCELÓ ROYAL BEACH 	Aukštos klas?s komfortas, SPA ir platus paslaug? pasirinkimas																							
BERLIN GOLDEN BEACH 	„Viskas ?skai?iuota“, šeimoms patogus formatas ir komfortas																							
BEST WESTERN PLUS PREMIUM INN 	Tarptautiniai standartai, modernus komfortas ir patikima kokyb?																							
BILYANA BEACH 	Tik suaugusiesiems, rami ir romantiška atmosfera																							
BURGAS BEACH 	Patogus poilsis, subalansuotas komfortas ir gera infrastrukt?ra																							
CASCADAS FAMILY RESORT 	Didelis kompleksas, baseinai ir ramios šeimos atostogos																							
DIAMANT RESIDENCE HOTEL & SPA 	SPA paslaugos, „viskas ?skai?iuota“ ir komfortiškas poilsis																							
DIT EVRIKA BEACH CLUB HOTEL 	Plati infrastrukt?ra, animacija vaikams ir šeimos poilsis																							
DREAMS SUNNY BEACH RESORT & SPA 	Premium „viskas ?skai?iuota“, restoranai ir SPA																							
ENSANA AQUAHOUSE HEALTH SPA HOTEL 	Medicininis SPA, sveikatinimas ir terminiai baseinai																							
EXCELSIOR GOLDEN SANDS 	Geras kainos ir kokyb?s santykis bei patogus poilsis																							
FLAMINGO BEACH 	Paprastas, ekonomiškas poilsis be papildom? išlaid?																							
FOUR POINTS BY SHERATON 	Tarptautinis prek?s ženklas, modernus komfortas ir kokyb?																							
GARDEN NEVIS 	Žaluma, šeimai draugiška atmosfera ir gera kaina																							
GARDEN OF EDEN 	Prabanga, ramyb? ir poilsis gamtos apsuptyje																							
GARDEN OF EDEN APARTHOTEL 	Apartamentai, privatumas ir viešbu?io paslaugos																							
GOLDEN DUNE 	Modernus dizainas, komfortas ir papl?dimio poilsis																							
GOLDEN LINE APARTHOTEL 	Apartamentai, SPA zona ir lankstus poilsis																							
HELENA PARK 	Elegantiškas poilsis, rami atmosfera ir aukšto lygio aptarnavimas																							
HELENA SANDS 	Prabanga, komfortas ir išskirtin? poilsio patirtis																							
HELIOS SPA 	SPA paslaugos, ramus poilsis ir komfortiški kambariai																							
HRIZANTEMA 	„Viskas ?skai?iuota“, patogus formatas ir šeimos poilsis																							
HVD CLUB HOTEL BOR 	Premium AI, aukšta maisto kokyb? ir puikus aptarnavimas																							
